m,n,k,time
300,300,1000,0.00626305
300,400,100,0.000431205
300,400,200,0.000973823
300,400,300,0.00136922
300,400,400,0.00217804
300,400,500,0.00472291
300,400,600,0.00377788
300,400,700,0.00425196
300,400,800,0.00527238
300,400,900,0.0078534
300,400,1000,0.00712302
300,500,100,0.000847087
300,500,200,0.00138358
300,500,300,0.00236514
300,500,400,0.00321023
300,500,500,0.00455171
300,500,600,0.00606872
300,500,700,0.00616212
300,500,800,0.00717487
300,500,900,0.0134352
300,500,1000,0.0229755
300,600,100,0.0119033
300,600,200,0.011474
300,600,300,0.011524
300,600,400,0.0117184
300,600,500,0.015404
300,600,600,0.0182009
300,600,700,0.022822
300,600,800,0.0193051
300,600,900,0.0218754
300,600,1000,0.0199693
300,700,100,0.00323423
300,700,200,0.00729424
300,700,300,0.0127448
300,700,400,0.0126133
300,700,500,0.0168895
300,700,600,0.018608
300,700,700,0.0140249
300,700,800,0.0198206
300,700,900,0.0222418
300,700,1000,0.0264651
300,800,100,0.013639
300,800,200,0.00769375
300,800,300,0.0121225
300,800,400,0.0162056
300,800,500,0.0183509
300,800,600,0.017473
300,800,700,0.0144796
300,800,800,0.0165991
300,800,900,0.0197278
300,800,1000,0.0264836
300,900,100,0.0094985
300,900,200,0.0114441
300,900,300,0.0102566
300,900,400,0.0111544
300,900,500,0.0149839
300,900,600,0.0122222
300,900,700,0.0118615
300,900,800,0.0169653
300,900,900,0.0148498
300,900,1000,0.0356629
300,1000,100,0.00990299
300,1000,200,0.00741336
300,1000,300,0.0121834
300,1000,400,0.0144457
300,1000,500,0.0154115
300,1000,600,0.0226509
300,1000,700,0.0273489
300,1000,800,0.0287837
300,1000,900,0.0280968
300,1000,1000,0.0384385
400,100,100,0.00525515
400,100,200,0.00113084
400,100,300,0.000923479
400,100,400,0.0013508
400,100,500,0.00183952
400,100,600,0.00226322
400,100,700,0.00223619
400,100,800,0.00348619
400,100,900,0.00528443
400,100,1000,0.00581949
400,200,100,0.00643309
400,200,200,0.00568064
400,200,300,0.00539457
400,200,400,0.00993628
400,200,500,0.0136941
400,200,600,0.00918073
400,200,700,0.0139861
400,200,800,0.0100677
400,200,900,0.0072519
400,200,1000,0.0101528
400,300,100,0.00338445
400,300,200,0.0114568
400,300,300,0.0117509
400,300,400,0.00883223
400,300,500,0.00719798
400,300,600,0.0137292
400,300,700,0.00991263
400,300,800,0.0102582
400,300,900,0.00995285
400,300,1000,0.0116017
400,400,100,0.00104348
400,400,200,0.00363663
400,400,300,0.00319727
400,400,400,0.00531407
400,400,500,0.00581898
400,400,600,0.00731255
400,400,700,0.00865601
400,400,800,0.0117626
400,400,900,0.0196013
400,400,1000,0.0210929
400,500,100,0.0102835
400,500,200,0.011165
400,500,300,0.00871956
400,500,400,0.00927275
400,500,500,0.0154091
400,500,600,0.017807
400,500,700,0.0204948
400,500,800,0.0219197
400,500,900,0.0246758
400,500,1000,0.0277254
400,600,100,0.0115739
400,600,200,0.0116107
400,600,300,0.0136959
400,600,400,0.0186459
400,600,500,0.0194557
400,600,600,0.019738
400,600,700,0.01937
400,600,800,0.0252534
400,600,900,0.0167857
400,600,1000,0.0159063
400,700,100,0.00253708
400,700,200,0.00294801
400,700,300,0.00464091
400,700,400,0.00833037
400,700,500,0.00861222
400,700,600,0.00977572
400,700,700,0.0147499
400,700,800,0.0253498
400,700,900,0.0275799
400,700,1000,0.0318339
400,800,100,0.00479661
400,800,200,0.00728864
400,800,300,0.00807085
400,800,400,0.0109478
400,800,500,0.018565
400,800,600,0.0252582
400,800,700,0.0254293
400,800,800,0.0285055
400,800,900,0.0307742
400,800,1000,0.0270848
400,900,100,0.00394428
400,900,200,0.00669296
400,900,300,0.00628514
400,900,400,0.00828191
400,900,500,0.0162753
400,900,600,0.0310182
400,900,700,0.0312023
400,900,800,0.0301432
400,900,900,0.0328251
400,900,1000,0.0402792
400,1000,100,0.00635822
400,1000,200,0.00670481
400,1000,300,0.00925179
400,1000,400,0.0135975
400,1000,500,0.0120706
400,1000,600,0.0153893
400,1000,700,0.0203955
400,1000,800,0.0215952
400,1000,900,0.0232817
400,1000,1000,0.0251311
500,100,100,0.00026469
500,100,200,0.000457026
500,100,300,0.000741486
500,100,400,0.000871186
500,100,500,0.00106672
500,100,600,0.00127312
500,100,700,0.00139111
500,100,800,0.00158274
500,100,900,0.00184499
500,100,1000,0.00209931
500,200,100,0.000422427
500,200,200,0.000854705
500,200,300,0.00111021
500,200,400,0.00144802
500,200,500,0.00182976
500,200,600,0.00233216
500,200,700,0.0034999
500,200,800,0.00455881
500,200,900,0.00460496
500,200,1000,0.00490822
500,300,100,0.000688624
500,300,200,0.00128324
500,300,300,0.00195013
500,300,400,0.00261211
500,300,500,0.0032249
500,300,600,0.00406573
500,300,700,0.00495339
500,300,800,0.00672163
500,300,900,0.00736855
500,300,1000,0.0103104
500,400,100,0.00132363
500,400,200,0.00145888
500,400,300,0.00288787
500,400,400,0.00428766
500,400,500,0.00945784
500,400,600,0.00664939
500,400,700,0.0080375
500,400,800,0.00894971
500,400,900,0.0124643
500,400,1000,0.0124102
500,500,100,0.00110833
500,500,200,0.00229344
500,500,300,0.00374232
500,500,400,0.00503834
500,500,500,0.00649712
500,500,600,0.00939559
500,500,700,0.0111264
500,500,800,0.0129098
500,500,900,0.0140595
500,500,1000,0.0156257
500,600,100,0.00565517
500,600,200,0.0048968
500,600,300,0.00781357
500,600,400,0.00678141
500,600,500,0.00764447
500,600,600,0.0102273
500,600,700,0.0134543
500,600,800,0.0216784
500,600,900,0.0184191
500,600,1000,0.0219358
500,700,100,0.0016984
500,700,200,0.00343024
500,700,300,0.00661937
500,700,400,0.0135491
500,700,500,0.0115145
500,700,600,0.0136476
500,700,700,0.016788
500,700,800,0.0193157
500,700,900,0.0227346
500,700,1000,0.0241996
500,800,100,0.0021769
500,800,200,0.00399226
500,800,300,0.00637865
500,800,400,0.00971999
500,800,500,0.0131277
500,800,600,0.0166505
500,800,700,0.0229305
500,800,800,0.0230135
500,800,900,0.0275893
500,800,1000,0.0305297
500,900,100,0.00334299
500,900,200,0.00572961
500,900,300,0.00983622
500,900,400,0.0130896
500,900,500,0.015495
500,900,600,0.0178985
500,900,700,0.0214614
500,900,800,0.0250088
500,900,900,0.0298246
500,900,1000,0.0327274
500,1000,100,0.00270844
500,1000,200,0.00528793
500,1000,300,0.00965986
500,1000,400,0.0159824
500,1000,500,0.0181937
500,1000,600,0.0199524
500,1000,700,0.0230865
500,1000,800,0.0263126
500,1000,900,0.0353383
500,1000,1000,0.0398073
600,100,100,0.000303411
600,100,200,0.000555976
600,100,300,0.0008237
600,100,400,0.00107343
600,100,500,0.00140615
600,100,600,0.00154566
600,100,700,0.00195991
600,100,800,0.00204725
600,100,900,0.00232979
600,100,1000,0.00261224
600,200,100,0.000722166
600,200,200,0.00093385
600,200,300,0.00140657
600,200,400,0.00190012
600,200,500,0.00251601
600,200,600,0.00331459
600,200,700,0.00354799
600,200,800,0.0120627
600,200,900,0.0173268
600,200,1000,0.0175079
600,300,100,0.00994706
600,300,200,0.0111325
600,300,300,0.010693
600,300,400,0.0108472
600,300,500,0.0115294
600,300,600,0.0161087
600,300,700,0.0130633
600,300,800,0.0136245
600,300,900,0.0205398
600,300,1000,0.0195575
600,400,100,0.00657123
600,400,200,0.0120257
600,400,300,0.00970766
600,400,400,0.0145673
600,400,500,0.0127471
600,400,600,0.0189044
600,400,700,0.0190963
600,400,800,0.0193268
600,400,900,0.0274267
600,400,1000,0.0306053
600,500,100,0.00960943
600,500,200,0.0113557
600,500,300,0.00965885
600,500,400,0.0140635
600,500,500,0.0202461
600,500,600,0.0208219
600,500,700,0.0237523
600,500,800,0.0301848
600,500,900,0.0309708
600,500,1000,0.0339086
600,600,100,0.00276144
600,600,200,0.00573217
600,600,300,0.00926663
600,600,400,0.0123438
600,600,500,0.0134357
600,600,600,0.0166228
600,600,700,0.0218655
600,600,800,0.0247292
600,600,900,0.0273078
600,600,1000,0.0309853
600,700,100,0.0027542
600,700,200,0.00568694
600,700,300,0.0106908
600,700,400,0.0137928
600,700,500,0.0168721
600,700,600,0.0259779
600,700,700,0.0277939
600,700,800,0.0317747
600,700,900,0.0362832
600,700,1000,0.0477672
600,800,100,0.00540356
600,800,200,0.00896236
600,800,300,0.01557
600,800,400,0.0168705
600,800,500,0.0208351
600,800,600,0.0284076
600,800,700,0.0265543
600,800,800,0.0301144
600,800,900,0.0380708
600,800,1000,0.0526163
600,900,100,0.0118588
600,900,200,0.0116394
600,900,300,0.0165039
600,900,400,0.0185617
600,900,500,0.0322404
600,900,600,0.0269626
600,900,700,0.0295588
600,900,800,0.0351237
600,900,900,0.0392031
600,900,1000,0.0444644
600,1000,100,0.0029743
600,1000,200,0.00632035
600,1000,300,0.0115178
600,1000,400,0.015774
600,1000,500,0.0202995
600,1000,600,0.0414408
600,1000,700,0.0341469
600,1000,800,0.0341388
600,1000,900,0.0413647
600,1000,1000,0.046394
700,100,100,0.000365649
700,100,200,0.000639763
700,100,300,0.000955424
700,100,400,0.001253
700,100,500,0.00157317
700,100,600,0.00185099
700,100,700,0.0020943
700,100,800,0.00237055
700,100,900,0.00266373
700,100,1000,0.0029422
700,200,100,0.000606953
700,200,200,0.00109799
700,200,300,0.00199425
700,200,400,0.00222731
700,200,500,0.00297123
700,200,600,0.00426577
700,200,700,0.00777492
700,200,800,0.00687076
700,200,900,0.00671257
700,200,1000,0.00833919
700,300,100,0.00101117
700,300,200,0.00221711
700,300,300,0.00296391
700,300,400,0.00419356
700,300,500,0.00480438
700,300,600,0.00586829
700,300,700,0.00754239
700,300,800,0.00992225
700,300,900,0.0105942
700,300,1000,0.0129456
700,400,100,0.00116261
700,400,200,0.0023261
700,400,300,0.0034221
700,400,400,0.00484849
700,400,500,0.00863222
700,400,600,0.00991012
700,400,700,0.011656
700,400,800,0.0155618
700,400,900,0.0173738
700,400,1000,0.0307896
700,500,100,0.01067
700,500,200,0.00676045
700,500,300,0.00958151
700,500,400,0.0126641
700,500,500,0.0215151
700,500,600,0.0203756
700,500,700,0.0282259
700,500,800,0.0265213
700,500,900,0.0284487
700,500,1000,0.0313669
700,600,100,0.00584255
700,600,200,0.00577338
700,600,300,0.0166647
700,600,400,0.0159921
700,600,500,0.025789
700,600,600,0.0308749
700,600,700,0.0321317
700,600,800,0.0408862
700,600,900,0.0523716
700,600,1000,0.0378912
700,700,100,0.00285579
700,700,200,0.00541741
700,700,300,0.0100447
700,700,400,0.0144107
700,700,500,0.0284235
700,700,600,0.0338935
700,700,700,0.0384605
700,700,800,0.0447801
700,700,900,0.0464508
700,700,1000,0.0341617
700,800,100,0.00237511
700,800,200,0.00490966
700,800,300,0.0117986
700,800,400,0.0223442
700,800,500,0.0300693
700,800,600,0.0265296
700,800,700,0.0416974
700,800,800,0.0375711
700,800,900,0.0419835
700,800,1000,0.0488466
700,900,100,0.00839101
700,900,200,0.0187328
700,900,300,0.0218026
700,900,400,0.0301921
700,900,500,0.0380941
700,900,600,0.0440741
700,900,700,0.0383702
700,900,800,0.0460209
700,900,900,0.0493742
700,900,1000,0.047163
700,1000,100,0.00373227
700,1000,200,0.0105087
700,1000,300,0.0164838
700,1000,400,0.0366544
700,1000,500,0.0401361
700,1000,600,0.0470529
700,1000,700,0.0550831
700,1000,800,0.073488
700,1000,900,0.0770846
700,1000,1000,0.0743157
800,100,100,0.000428373
800,100,200,0.000895629
800,100,300,0.00125425
800,100,400,0.00169667
800,100,500,0.00310814
800,100,600,0.00521766
800,100,700,0.00648753
800,100,800,0.00589767
800,100,900,0.00789193
800,100,1000,0.00722642
800,200,100,0.00224287
800,200,200,0.00483019
800,200,300,0.00858776
800,200,400,0.00745326
800,200,500,0.00616657
800,200,600,0.00980111
800,200,700,0.00644997
800,200,800,0.00722453
800,200,900,0.0118187
800,200,1000,0.00967532
800,300,100,0.00126424
800,300,200,0.00241103
800,300,300,0.00343536
800,300,400,0.00442201
800,300,500,0.00579672
800,300,600,0.00897461
800,300,700,0.00915812
800,300,800,0.0109301
800,300,900,0.0154803
800,300,1000,0.0250322
800,400,100,0.00926158
800,400,200,0.0110622
800,400,300,0.0146124
800,400,400,0.020855
800,400,500,0.0222176
800,400,600,0.0163722
800,400,700,0.017677
800,400,800,0.017577
800,400,900,0.0208137
800,400,1000,0.0381745
800,500,100,0.00264621
800,500,200,0.00348244
800,500,300,0.00589416
800,500,400,0.00860888
800,500,500,0.0110834
800,500,600,0.0187263
800,500,700,0.0229046
800,500,800,0.0311655
800,500,900,0.0269656
800,500,1000,0.029599
800,600,100,0.00251437
800,600,200,0.00482028
800,600,300,0.00823454
800,600,400,0.0111772
800,600,500,0.0154718
800,600,600,0.0223588
800,600,700,0.0272621
800,600,800,0.0276632
800,600,900,0.0395356
800,600,1000,0.0367239
800,700,100,0.00273473
800,700,200,0.00541882
800,700,300,0.00954372
800,700,400,0.0143092
800,700,500,0.0202011
800,700,600,0.0259896
800,700,700,0.0338075
800,700,800,0.0359432
800,700,900,0.0372599
800,700,1000,0.0474301
800,800,100,0.00319845
800,800,200,0.00657179
800,800,300,0.0117424
800,800,400,0.0182724
800,800,500,0.0217272
800,800,600,0.0272716
800,800,700,0.0408895
800,800,800,0.0391058
800,800,900,0.0446871
800,800,1000,0.0510788
800,900,100,0.00413256
800,900,200,0.00804389
800,900,300,0.0133909
800,900,400,0.0211638
800,900,500,0.026025
800,900,600,0.0429623
800,900,700,0.0360539
800,900,800,0.0424626
800,900,900,0.0479009
800,900,1000,0.0669362
800,1000,100,0.0140013
800,1000,200,0.0119129
800,1000,300,0.0141635
800,1000,400,0.0227123
800,1000,500,0.0408958
800,1000,600,0.0357044
800,1000,700,0.0562902
800,1000,800,0.0584123
800,1000,900,0.0549964
800,1000,1000,0.0836769
900,100,100,0.0109868
900,100,200,0.0106571
900,100,300,0.0118509
900,100,400,0.00853298
900,100,500,0.00525661
900,100,600,0.00852293
900,100,700,0.00975992
900,100,800,0.00652713
900,100,900,0.00750787
900,100,1000,0.00893346
900,200,100,0.00283991
900,200,200,0.00214059
900,200,300,0.0048343
900,200,400,0.00774559
900,200,500,0.00982393
900,200,600,0.00922679
900,200,700,0.0116431
900,200,800,0.0108635
900,200,900,0.00837352
900,200,1000,0.010754
900,300,100,0.00138354
900,300,200,0.00264154
900,300,300,0.00579565
900,300,400,0.00568772
900,300,500,0.00662442
900,300,600,0.0088311
900,300,700,0.0113505
900,300,800,0.0214694
900,300,900,0.0273649
900,300,1000,0.0323226
900,400,100,0.0134478
900,400,200,0.00861601
900,400,300,0.0167731
900,400,400,0.0186769
900,400,500,0.020748
900,400,600,0.0216359
900,400,700,0.0212106
900,400,800,0.0286651
900,400,900,0.0265993
900,400,1000,0.026309
900,500,100,0.00229797
900,500,200,0.00441811
900,500,300,0.00634561
900,500,400,0.00943787
900,500,500,0.0123855
900,500,600,0.0161967
900,500,700,0.0220658
900,500,800,0.0269014
900,500,900,0.0303836
900,500,1000,0.0362132
900,600,100,0.00242105
900,600,200,0.005802
900,600,300,0.00978909
900,600,400,0.0123623
900,600,500,0.0336618
900,600,600,0.0351413
900,600,700,0.042636
900,600,800,0.0527154
900,600,900,0.0598871
900,600,1000,0.0604579
900,700,100,0.0128263
900,700,200,0.0192268
900,700,300,0.0276385
900,700,400,0.0289302
900,700,500,0.0365415
900,700,600,0.0477146
900,700,700,0.0470261
900,700,800,0.0557202
900,700,900,0.065401
900,700,1000,0.0682897
900,800,100,0.00675933
900,800,200,0.0107478
900,800,300,0.0170643
900,800,400,0.0359216
900,800,500,0.0435549
900,800,600,0.0518927
900,800,700,0.0574501
900,800,800,0.0636028
900,800,900,0.0694616
900,800,1000,0.0748429
900,900,100,0.0126178
900,900,200,0.0194815
900,900,300,0.0277081
900,900,400,0.0292159
900,900,500,0.0330061
900,900,600,0.0496717
900,900,700,0.0634937
900,900,800,0.0675515
900,900,900,0.0654661
900,900,1000,0.0730673
900,1000,100,0.0127287
900,1000,200,0.0225319
900,1000,300,0.0289147
900,1000,400,0.0398478
900,1000,500,0.0484368
900,1000,600,0.042201
900,1000,700,0.0442518
900,1000,800,0.0513097
900,1000,900,0.0574507
900,1000,1000,0.068217
1000,100,100,0.000498082
1000,100,200,0.000870139
1000,100,300,0.00131226
1000,100,400,0.00177039
1000,100,500,0.00217853
1000,100,600,0.00251103
1000,100,700,0.00286952
1000,100,800,0.00332708
1000,100,900,0.0037396
1000,100,1000,0.00428341
1000,200,100,0.000856504
