m,n,k,time
100,900,400,0.160046
100,900,500,0.203239
100,900,600,0.238756
100,900,700,0.289028
100,900,800,0.321042
100,900,900,0.367539
100,900,1000,0.419734
100,1000,100,0.0443024
100,1000,200,0.088423
100,1000,300,0.13352699999999998
100,1000,400,0.173982
100,1000,500,0.219529
100,1000,600,0.259063
100,1000,700,0.312935
100,1000,800,0.34763499999999997
100,1000,900,0.40492
100,1000,1000,0.437332
200,100,100,0.00813448
200,100,200,0.016353100000000002
200,100,300,0.0251985
200,100,400,0.0339253
200,100,500,0.042116
200,100,600,0.0517518
200,100,700,0.059289499999999995
200,100,800,0.0672604
200,100,900,0.0758309
200,100,1000,0.08412460000000001
200,200,100,0.0159985
200,200,200,0.0337538
200,200,300,0.0506982
200,200,400,0.0667164
200,200,500,0.0834469
200,200,600,0.0999308
200,200,700,0.117565
200,200,800,0.138813
200,200,900,0.15197999999999998
200,200,1000,0.167773
200,300,100,0.0245942
200,300,200,0.051013800000000005
200,300,300,0.0763938
200,300,400,0.100778
200,300,500,0.125804
200,300,600,0.151303
200,300,700,0.180444
200,300,800,0.20588399999999998
200,300,900,0.228388
200,300,1000,0.257106
200,400,100,0.033714799999999996
200,400,200,0.0702715
200,400,300,0.108708
200,400,400,0.14157
200,400,500,0.172567
200,400,600,0.20622100000000002
200,400,700,0.24549600000000002
200,400,800,0.28045800000000004
200,400,900,0.31500900000000004
200,400,1000,0.340831
200,500,100,0.0421318
200,500,200,0.0857931
200,500,300,0.13286699999999999
200,500,400,0.17611000000000002
200,500,500,0.21795799999999999
200,500,600,0.26109699999999997
200,500,700,0.310639
200,500,800,0.35444600000000004
200,500,900,0.39145800000000003
200,500,1000,0.424666
200,600,100,0.051425
200,600,200,0.10357
200,600,300,0.157682
200,600,400,0.20615
200,600,500,0.252864
200,600,600,0.30011200000000005
200,600,700,0.358889
200,600,800,0.415704
200,600,900,0.461822
200,600,1000,0.505652
200,700,100,0.059732999999999994
200,700,200,0.121784
200,700,300,0.19084299999999998
200,700,400,0.244617
200,700,500,0.30383
200,700,600,0.36566899999999997
200,700,700,0.432553
200,700,800,0.48419
200,700,900,0.565583
200,700,1000,0.6231180000000001
200,800,100,0.0726479
200,800,200,0.145925
