m,n,k,time
300,300,1000,0.00526717
300,400,100,0.00049706
300,400,200,0.00101616
300,400,300,0.00209172
300,400,400,0.00225064
300,400,500,0.00286526
300,400,600,0.00352634
300,400,700,0.00441283
300,400,800,0.00501621
300,400,900,0.00612241
300,400,1000,0.0152652
300,500,100,0.00110015
300,500,200,0.0018462
300,500,300,0.00266209
300,500,400,0.00384093
300,500,500,0.00401924
300,500,600,0.00479032
300,500,700,0.00649808
300,500,800,0.00802248
300,500,900,0.00905853
300,500,1000,0.0102234
300,600,100,0.000761926
300,600,200,0.00377004
300,600,300,0.00307253
300,600,400,0.00374149
300,600,500,0.00469275
300,600,600,0.00611394
300,600,700,0.00847369
300,600,800,0.0090511
300,600,900,0.0108419
300,600,1000,0.0130596
300,700,100,0.00103421
300,700,200,0.00217337
300,700,300,0.00336035
300,700,400,0.00497957
300,700,500,0.00592973
300,700,600,0.00821215
300,700,700,0.0093472
300,700,800,0.0108744
300,700,900,0.0117887
300,700,1000,0.0150205
300,800,100,0.000943384
300,800,200,0.00216446
300,800,300,0.00354167
300,800,400,0.00513091
300,800,500,0.00900185
300,800,600,0.00916869
300,800,700,0.0114198
300,800,800,0.0126475
300,800,900,0.0124957
300,800,1000,0.0170338
300,900,100,0.00131044
300,900,200,0.00277048
300,900,300,0.00472814
300,900,400,0.00676388
300,900,500,0.00875464
300,900,600,0.0110331
300,900,700,0.0133081
300,900,800,0.0161365
300,900,900,0.0163497
300,900,1000,0.0172395
300,1000,100,0.00122655
300,1000,200,0.00285333
300,1000,300,0.00469205
300,1000,400,0.00700922
300,1000,500,0.00922135
300,1000,600,0.0118982
300,1000,700,0.0143716
300,1000,800,0.0155115
300,1000,900,0.0172091
300,1000,1000,0.0202688
400,100,100,0.000235169
400,100,200,0.00038483
400,100,300,0.000609225
400,100,400,0.000737892
400,100,500,0.00087794
400,100,600,0.00101445
400,100,700,0.00118016
400,100,800,0.00130854
400,100,900,0.00147504
400,100,1000,0.00168341
400,200,100,0.00034822
400,200,200,0.000848427
400,200,300,0.000960717
400,200,400,0.00117487
400,200,500,0.00182018
400,200,600,0.00178663
400,200,700,0.00236888
400,200,800,0.00283726
400,200,900,0.0042631
400,200,1000,0.00426423
400,300,100,0.000592167
400,300,200,0.00112349
400,300,300,0.00203304
400,300,400,0.00270736
400,300,500,0.00571804
400,300,600,0.00332911
400,300,700,0.00532272
400,300,800,0.00503576
400,300,900,0.00706906
400,300,1000,0.0071504
400,400,100,0.00103349
400,400,200,0.00124248
400,400,300,0.00190292
400,400,400,0.010352
400,400,500,0.00487663
400,400,600,0.00499999
400,400,700,0.00692455
400,400,800,0.00811489
400,400,900,0.00944386
400,400,1000,0.0110792
400,500,100,0.00102589
400,500,200,0.00311407
400,500,300,0.00364602
400,500,400,0.00543927
400,500,500,0.0052429
400,500,600,0.0076727
400,500,700,0.00936585
400,500,800,0.0102262
400,500,900,0.0127328
400,500,1000,0.0131256
400,600,100,0.00144946
400,600,200,0.00194392
400,600,300,0.0031252
400,600,400,0.00457811
400,600,500,0.00647543
400,600,600,0.00951391
400,600,700,0.0130425
400,600,800,0.0120934
400,600,900,0.0147216
400,600,1000,0.0154307
400,700,100,0.00142471
400,700,200,0.00271538
400,700,300,0.0044342
400,700,400,0.00618145
400,700,500,0.00949578
400,700,600,0.00986259
400,700,700,0.0131511
400,700,800,0.0162822
400,700,900,0.0161163
400,700,1000,0.0197408
400,800,100,0.00130873
400,800,200,0.00277113
400,800,300,0.00479777
400,800,400,0.00761042
400,800,500,0.00993542
400,800,600,0.0130379
400,800,700,0.0151922
400,800,800,0.0184837
400,800,900,0.0208136
400,800,1000,0.0210848
400,900,100,0.00173854
400,900,200,0.00358045
400,900,300,0.00618525
400,900,400,0.00986419
400,900,500,0.0116787
400,900,600,0.0144405
400,900,700,0.0181405
400,900,800,0.0191854
400,900,900,0.0209618
400,900,1000,0.0288522
400,1000,100,0.00155586
400,1000,200,0.0037029
400,1000,300,0.0065754
400,1000,400,0.0131273
400,1000,500,0.0123388
400,1000,600,0.0160443
400,1000,700,0.0182632
400,1000,800,0.0208075
400,1000,900,0.0232996
400,1000,1000,0.030885
500,100,100,0.000288575
500,100,200,0.000458845
500,100,300,0.000690662
500,100,400,0.000824231
500,100,500,0.00116875
500,100,600,0.00165478
500,100,700,0.00134852
500,100,800,0.00168303
500,100,900,0.00240273
500,100,1000,0.00884014
500,200,100,0.000661257
500,200,200,0.00160743
500,200,300,0.00364342
500,200,400,0.00347909
500,200,500,0.00377421
500,200,600,0.00467607
500,200,700,0.00922996
500,200,800,0.00647506
500,200,900,0.00451051
500,200,1000,0.00623875
500,300,100,0.000727947
500,300,200,0.00139398
500,300,300,0.00215448
500,300,400,0.00426189
500,300,500,0.00352747
500,300,600,0.00542835
500,300,700,0.00615891
500,300,800,0.0073633
500,300,900,0.00867943
500,300,1000,0.0101622
500,400,100,0.000835969
500,400,200,0.00291284
500,400,300,0.00263215
500,400,400,0.00342374
500,400,500,0.00486864
500,400,600,0.00610617
500,400,700,0.00831068
500,400,800,0.0100538
500,400,900,0.0119946
500,400,1000,0.0136839
500,500,100,0.00143825
500,500,200,0.00286668
500,500,300,0.00452148
500,500,400,0.00525486
500,500,500,0.0112293
500,500,600,0.015952
500,500,700,0.0108203
500,500,800,0.0130958
500,500,900,0.014738
500,500,1000,0.0159238
500,600,100,0.00128382
500,600,200,0.00244279
500,600,300,0.00435065
500,600,400,0.00737889
500,600,500,0.0093344
500,600,600,0.012515
500,600,700,0.0128574
500,600,800,0.0176061
500,600,900,0.0178725
500,600,1000,0.0201784
500,700,100,0.00257792
500,700,200,0.00555179
500,700,300,0.0115921
500,700,400,0.0120675
500,700,500,0.0112438
500,700,600,0.0139717
500,700,700,0.0160536
500,700,800,0.0184623
500,700,900,0.0214997
500,700,1000,0.0235623
500,800,100,0.00163925
500,800,200,0.0035419
500,800,300,0.00640684
500,800,400,0.0102708
500,800,500,0.0121435
500,800,600,0.0173885
500,800,700,0.0193874
500,800,800,0.0237636
500,800,900,0.0251829
500,800,1000,0.0308738
500,900,100,0.00207886
500,900,200,0.0049331
500,900,300,0.00935802
500,900,400,0.0121245
500,900,500,0.018153
500,900,600,0.0182965
500,900,700,0.0232269
500,900,800,0.024925
500,900,900,0.0291436
500,900,1000,0.0302394
500,1000,100,0.0028562
500,1000,200,0.00487076
500,1000,300,0.00963126
500,1000,400,0.0121951
500,1000,500,0.0174247
500,1000,600,0.0216539
500,1000,700,0.0282496
500,1000,800,0.0286897
500,1000,900,0.0297567
500,1000,1000,0.041275
600,100,100,0.000303811
600,100,200,0.000559103
600,100,300,0.000848132
600,100,400,0.00105498
600,100,500,0.00147793
600,100,600,0.00272429
600,100,700,0.00176503
600,100,800,0.00206491
600,100,900,0.00226909
600,100,1000,0.00245021
600,200,100,0.000516213
600,200,200,0.00106118
600,200,300,0.00192295
600,200,400,0.00307714
600,200,500,0.00360538
600,200,600,0.00352311
600,200,700,0.00657672
600,200,800,0.00473634
600,200,900,0.00659987
600,200,1000,0.0072368
600,300,100,0.0010485
600,300,200,0.00165288
600,300,300,0.00238605
600,300,400,0.00317119
600,300,500,0.0042352
600,300,600,0.00515516
600,300,700,0.00874434
600,300,800,0.00849185
600,300,900,0.00986822
600,300,1000,0.011399
600,400,100,0.00158984
600,400,200,0.00270072
600,400,300,0.00290978
600,400,400,0.00438342
600,400,500,0.00589123
600,400,600,0.00873779
600,400,700,0.00900212
600,400,800,0.0122687
600,400,900,0.0135526
600,400,1000,0.0201907
600,500,100,0.00149942
600,500,200,0.00326773
600,500,300,0.00442822
600,500,400,0.00630735
600,500,500,0.00947686
600,500,600,0.013575
600,500,700,0.0138526
600,500,800,0.0158767
600,500,900,0.0171051
600,500,1000,0.0239187
600,600,100,0.00143488
600,600,200,0.00289443
600,600,300,0.00551691
600,600,400,0.00817752
600,600,500,0.0100589
600,600,600,0.0145277
600,600,700,0.0160658
600,600,800,0.0184338
600,600,900,0.0232458
600,600,1000,0.0266518
600,700,100,0.00190052
600,700,200,0.00385418
600,700,300,0.00641343
600,700,400,0.0105636
600,700,500,0.0124651
600,700,600,0.022374
600,700,700,0.0243074
600,700,800,0.0264523
600,700,900,0.0266966
600,700,1000,0.0310548
600,800,100,0.00384004
600,800,200,0.00541073
600,800,300,0.013406
600,800,400,0.0125928
600,800,500,0.0162199
600,800,600,0.0190916
600,800,700,0.0219107
600,800,800,0.0287603
600,800,900,0.0292879
600,800,1000,0.0354398
600,900,100,0.00246467
600,900,200,0.00539059
600,900,300,0.0102414
600,900,400,0.0147192
600,900,500,0.0199158
600,900,600,0.0248998
600,900,700,0.0257822
600,900,800,0.031383
600,900,900,0.0348058
600,900,1000,0.0383461
600,1000,100,0.00260896
600,1000,200,0.00651085
600,1000,300,0.011792
600,1000,400,0.0175828
600,1000,500,0.0198964
600,1000,600,0.0255105
600,1000,700,0.0293133
600,1000,800,0.0449869
600,1000,900,0.0358735
600,1000,1000,0.0496422
700,100,100,0.00141462
700,100,200,0.000880577
700,100,300,0.00112599
700,100,400,0.00120243
700,100,500,0.00146178
700,100,600,0.00171231
700,100,700,0.00201361
700,100,800,0.00355339
700,100,900,0.00273489
700,100,1000,0.00293092
700,200,100,0.000657069
700,200,200,0.0011137
700,200,300,0.00160366
700,200,400,0.00212618
700,200,500,0.00316249
700,200,600,0.00352102
700,200,700,0.00443485
700,200,800,0.00502831
700,200,900,0.00758725
700,200,1000,0.00817219
700,300,100,0.000958711
700,300,200,0.00178779
700,300,300,0.00405737
700,300,400,0.00376086
700,300,500,0.00489416
700,300,600,0.00622422
700,300,700,0.0084985
700,300,800,0.00979849
700,300,900,0.0124285
700,300,1000,0.0126541
700,400,100,0.00185356
700,400,200,0.00272114
700,400,300,0.00342206
700,400,400,0.00484136
700,400,500,0.00714256
700,400,600,0.00925748
700,400,700,0.0158627
700,400,800,0.015861
700,400,900,0.0159557
700,400,1000,0.0211113
700,500,100,0.00152412
700,500,200,0.00296115
700,500,300,0.00474801
700,500,400,0.0076244
700,500,500,0.0100654
700,500,600,0.0125509
700,500,700,0.0154945
700,500,800,0.0205383
700,500,900,0.0220119
700,500,1000,0.0261482
700,600,100,0.0017766
700,600,200,0.00339291
700,600,300,0.00584759
700,600,400,0.0149744
700,600,500,0.0153479
700,600,600,0.0162537
700,600,700,0.0205913
700,600,800,0.0226652
700,600,900,0.0267834
700,600,1000,0.0291928
700,700,100,0.0031978
700,700,200,0.00454
700,700,300,0.00874544
700,700,400,0.0134455
700,700,500,0.0159293
700,700,600,0.0228928
700,700,700,0.0244395
700,700,800,0.0283344
700,700,900,0.0306031
700,700,1000,0.0336194
700,800,100,0.00223832
700,800,200,0.00489803
700,800,300,0.0100352
700,800,400,0.0137827
700,800,500,0.0208905
700,800,600,0.0223271
700,800,700,0.0253211
700,800,800,0.0319007
700,800,900,0.0360901
700,800,1000,0.0391536
700,900,100,0.00281652
700,900,200,0.00695362
700,900,300,0.0112628
700,900,400,0.0170537
700,900,500,0.0236702
700,900,600,0.0296085
700,900,700,0.0299716
700,900,800,0.0370136
700,900,900,0.0384056
700,900,1000,0.0440034
700,1000,100,0.00427863
700,1000,200,0.00827612
700,1000,300,0.0143798
700,1000,400,0.0188571
700,1000,500,0.0237781
700,1000,600,0.0282332
700,1000,700,0.0350483
700,1000,800,0.0394627
700,1000,900,0.0457972
700,1000,1000,0.0491454
800,100,100,0.000402429
800,100,200,0.00073864
800,100,300,0.00102545
800,100,400,0.0014507
800,100,500,0.00170817
800,100,600,0.00202586
800,100,700,0.00240943
800,100,800,0.00411197
800,100,900,0.00365132
800,100,1000,0.00348346
800,200,100,0.000720757
800,200,200,0.00125538
800,200,300,0.00182902
800,200,400,0.00242298
800,200,500,0.00318461
800,200,600,0.0037303
800,200,700,0.00455389
800,200,800,0.00559072
800,200,900,0.0088498
800,200,1000,0.00864751
800,300,100,0.00199215
800,300,200,0.00360554
800,300,300,0.00371812
800,300,400,0.00407565
800,300,500,0.00529019
800,300,600,0.00704525
800,300,700,0.00906353
800,300,800,0.0111477
800,300,900,0.0134446
800,300,1000,0.0150724
800,400,100,0.00129896
800,400,200,0.00252829
800,400,300,0.00632595
800,400,400,0.00554829
800,400,500,0.00858548
800,400,600,0.0128934
800,400,700,0.0123631
800,400,800,0.0167041
800,400,900,0.0198076
800,400,1000,0.0284071
800,500,100,0.00178081
800,500,200,0.00355565
800,500,300,0.00552075
800,500,400,0.00997241
800,500,500,0.0115668
800,500,600,0.013442
800,500,700,0.0207041
800,500,800,0.0218788
800,500,900,0.0254718
800,500,1000,0.0305944
800,600,100,0.00225983
800,600,200,0.00396314
800,600,300,0.00621373
800,600,400,0.011907
800,600,500,0.0149303
800,600,600,0.0196697
800,600,700,0.0237315
800,600,800,0.0285839
800,600,900,0.0303504
800,600,1000,0.034301
800,700,100,0.00265968
800,700,200,0.00492321
800,700,300,0.0135003
800,700,400,0.0144721
800,700,500,0.0197379
800,700,600,0.0230931
800,700,700,0.0273072
800,700,800,0.0329194
800,700,900,0.0357095
800,700,1000,0.0406719
800,800,100,0.00270875
800,800,200,0.00792723
800,800,300,0.0112751
800,800,400,0.0157118
800,800,500,0.0225321
800,800,600,0.0326031
800,800,700,0.034885
800,800,800,0.0354596
800,800,900,0.0420376
800,800,1000,0.0453808
800,900,100,0.00446826
800,900,200,0.00696694
800,900,300,0.0159701
800,900,400,0.0202153
800,900,500,0.0257088
800,900,600,0.0306753
800,900,700,0.0366574
800,900,800,0.0416925
800,900,900,0.0466114
800,900,1000,0.0523556
800,1000,100,0.00503876
800,1000,200,0.0103768
800,1000,300,0.0137919
800,1000,400,0.0216048
800,1000,500,0.0277913
800,1000,600,0.0358853
800,1000,700,0.0380044
800,1000,800,0.0469818
800,1000,900,0.0526337
800,1000,1000,0.0619325
900,100,100,0.00075777
900,100,200,0.00101276
900,100,300,0.00217676
900,100,400,0.00265065
900,100,500,0.00536877
900,100,600,0.0019908
900,100,700,0.00231455
900,100,800,0.00306998
900,100,900,0.00412601
900,100,1000,0.00372403
900,200,100,0.000761599
900,200,200,0.00139259
900,200,300,0.00202909
900,200,400,0.00272586
900,200,500,0.00349559
900,200,600,0.00436856
900,200,700,0.00508504
900,200,800,0.00716178
900,200,900,0.00816685
900,200,1000,0.010066
900,300,100,0.00121361
900,300,200,0.00331139
900,300,300,0.00330084
900,300,400,0.00455869
900,300,500,0.00932545
900,300,600,0.00712517
900,300,700,0.0122924
900,300,800,0.0115749
900,300,900,0.0145187
900,300,1000,0.0171942
900,400,100,0.00139505
900,400,200,0.00284058
900,400,300,0.00443286
900,400,400,0.00639179
900,400,500,0.00972276
900,400,600,0.0123421
900,400,700,0.0138271
900,400,800,0.0199234
900,400,900,0.022337
900,400,1000,0.0252724
900,500,100,0.00199819
900,500,200,0.00397576
900,500,300,0.00626566
900,500,400,0.00951523
900,500,500,0.011246
900,500,600,0.0190314
900,500,700,0.0216496
900,500,800,0.0316466
900,500,900,0.0354369
900,500,1000,0.0313808
900,600,100,0.00227932
900,600,200,0.0044062
900,600,300,0.0077296
900,600,400,0.0111294
900,600,500,0.0167354
900,600,600,0.0239529
900,600,700,0.0372616
900,600,800,0.0309399
900,600,900,0.03432
900,600,1000,0.0396564
900,700,100,0.00278004
900,700,200,0.0071682
900,700,300,0.0106319
900,700,400,0.0151117
900,700,500,0.0206096
900,700,600,0.0272347
900,700,700,0.0296524
900,700,800,0.034751
900,700,900,0.0430737
900,700,1000,0.0443961
900,800,100,0.00374911
900,800,200,0.00623871
900,800,300,0.0121953
900,800,400,0.0191707
900,800,500,0.0254498
900,800,600,0.0293946
900,800,700,0.0359148
900,800,800,0.0421348
900,800,900,0.0514264
900,800,1000,0.0520908
900,900,100,0.00359253
900,900,200,0.00909895
900,900,300,0.0193723
900,900,400,0.0226317
900,900,500,0.0272952
900,900,600,0.0359227
900,900,700,0.0438145
900,900,800,0.0490345
900,900,900,0.0533852
900,900,1000,0.0624002
900,1000,100,0.00443582
900,1000,200,0.0100637
900,1000,300,0.0165846
900,1000,400,0.0249152
900,1000,500,0.0326956
900,1000,600,0.0376099
900,1000,700,0.0437091
900,1000,800,0.0558862
900,1000,900,0.0570715
900,1000,1000,0.0676998
1000,100,100,0.00111004
1000,100,200,0.00106667
1000,100,300,0.00121632
1000,100,400,0.00207748
1000,100,500,0.00263562
1000,100,600,0.00333206
1000,100,700,0.00326502
1000,100,800,0.00342294
1000,100,900,0.00372973
1000,100,1000,0.00427721
1000,200,100,0.000952338
1000,200,200,0.00158618
1000,200,300,0.00249036
1000,200,400,0.00305815
1000,200,500,0.00392259
1000,200,600,0.00644528
1000,200,700,0.00856758
1000,200,800,0.00756991
1000,200,900,0.00961548
1000,200,1000,0.0115837
1000,300,100,0.00224261
1000,300,200,0.00262176
1000,300,300,0.003804
1000,300,400,0.00525384
1000,300,500,0.00688773
1000,300,600,0.00923483
1000,300,700,0.0189401
1000,300,800,0.0149038
1000,300,900,0.0199537
1000,300,1000,0.0187916
1000,400,100,0.00162283
1000,400,200,0.00315298
1000,400,300,0.0049783
1000,400,400,0.00861189
1000,400,500,0.00953462
1000,400,600,0.0133758
1000,400,700,0.0253986
1000,400,800,0.0214708
1000,400,900,0.0290225
1000,400,1000,0.0287489
1000,500,100,0.00294284
1000,500,200,0.00442801
1000,500,300,0.00703942
1000,500,400,0.0103974
1000,500,500,0.0159969
1000,500,600,0.018155
1000,500,700,0.0237845
1000,500,800,0.0290361
1000,500,900,0.0336042
1000,500,1000,0.0348003
1000,600,100,0.00255055
1000,600,200,0.00502023
1000,600,300,0.00988706
1000,600,400,0.0130602
1000,600,500,0.0201712
1000,600,600,0.0250502
1000,600,700,0.0301213
1000,600,800,0.0362038
1000,600,900,0.0466692
1000,600,1000,0.0422944
1000,700,100,0.00291804
1000,700,200,0.00708065
1000,700,300,0.0113262
1000,700,400,0.017603
1000,700,500,0.0239395
1000,700,600,0.0325586
1000,700,700,0.0336003
1000,700,800,0.0400286
1000,700,900,0.0467963
1000,700,1000,0.0496425
1000,800,100,0.00337668
1000,800,200,0.00761507
1000,800,300,0.012902
1000,800,400,0.018931
1000,800,500,0.0284001
1000,800,600,0.0336648
1000,800,700,0.0400516
1000,800,800,0.0459846
1000,800,900,0.0538749
1000,800,1000,0.0603114
1000,900,100,0.00580216
1000,900,200,0.0101298
1000,900,300,0.0151263
1000,900,400,0.0223733
1000,900,500,0.0347024
1000,900,600,0.0399549
1000,900,700,0.0438973
1000,900,800,0.0521846
1000,900,900,0.0579206
1000,900,1000,0.0656548
1000,1000,100,0.00451353
1000,1000,200,0.0115125
1000,1000,300,0.0182034
1000,1000,400,0.0261653
1000,1000,500,0.0356485
1000,1000,600,0.0432399
1000,1000,700,0.0496118
1000,1000,800,0.0586411
1000,1000,900,0.0680828
1000,1000,1000,0.0730847
