m,n,k,time
300,300,1000,0.00810148
300,400,100,0.00100285
300,400,200,0.0021007
300,400,300,0.0034053
300,400,400,0.00430335
300,400,500,0.00536514
300,400,600,0.00699463
300,400,700,0.00826528
300,400,800,0.00919683
300,400,900,0.00998441
300,400,1000,0.0109841
300,500,100,0.00137608
300,500,200,0.00311961
300,500,300,0.00427214
300,500,400,0.005818
300,500,500,0.00713163
300,500,600,0.00887687
300,500,700,0.010514
300,500,800,0.0119876
300,500,900,0.0133654
300,500,1000,0.0149288
300,600,100,0.00164267
300,600,200,0.00316403
300,600,300,0.0047667
300,600,400,0.00640978
300,600,500,0.00813999
300,600,600,0.00997698
300,600,700,0.0116747
300,600,800,0.0133818
300,600,900,0.0149128
300,600,1000,0.0170349
300,700,100,0.00182837
300,700,200,0.00367718
300,700,300,0.00555442
300,700,400,0.00775361
300,700,500,0.00961655
300,700,600,0.0147921
300,700,700,0.013456
300,700,800,0.0159402
300,700,900,0.018056
300,700,1000,0.0211562
300,800,100,0.002235
300,800,200,0.00488494
300,800,300,0.00761957
300,800,400,0.00948583
300,800,500,0.011454
300,800,600,0.0142066
300,800,700,0.0164421
300,800,800,0.0194939
300,800,900,0.0209646
300,800,1000,0.0250849
300,900,100,0.00241396
300,900,200,0.00494197
300,900,300,0.00734934
300,900,400,0.010229
300,900,500,0.0123401
300,900,600,0.0152223
300,900,700,0.0175418
300,900,800,0.020661
300,900,900,0.0237623
300,900,1000,0.0257724
300,1000,100,0.00256836
300,1000,200,0.00529334
300,1000,300,0.00819711
300,1000,400,0.0110889
300,1000,500,0.0142036
300,1000,600,0.0183872
300,1000,700,0.0211293
300,1000,800,0.0235573
300,1000,900,0.024689
300,1000,1000,0.0282427
400,100,100,0.000347564
400,100,200,0.000705061
400,100,300,0.00100538
400,100,400,0.00145755
400,100,500,0.00179818
400,100,600,0.00204743
400,100,700,0.00246609
400,100,800,0.0028231
400,100,900,0.00311508
400,100,1000,0.00354593
400,200,100,0.000660075
400,200,200,0.00144965
400,200,300,0.00207905
400,200,400,0.00282574
400,200,500,0.00333811
400,200,600,0.00408077
400,200,700,0.00502405
400,200,800,0.00557264
400,200,900,0.00674461
400,200,1000,0.00788084
400,300,100,0.00105155
400,300,200,0.0021158
400,300,300,0.00302849
400,300,400,0.0040315
400,300,500,0.00489584
400,300,600,0.00599715
400,300,700,0.00733474
400,300,800,0.00862035
400,300,900,0.00978111
400,300,1000,0.0111411
400,400,100,0.00140891
400,400,200,0.0028538
400,400,300,0.00399488
400,400,400,0.00552642
400,400,500,0.00670064
400,400,600,0.00869935
400,400,700,0.0100843
400,400,800,0.0120494
400,400,900,0.0134748
400,400,1000,0.0143143
400,500,100,0.00281698
400,500,200,0.00417764
400,500,300,0.00554771
400,500,400,0.00793636
400,500,500,0.00967916
400,500,600,0.011333
400,500,700,0.0130504
400,500,800,0.0148801
400,500,900,0.0168131
400,500,1000,0.0186227
400,600,100,0.00196201
400,600,200,0.00403645
400,600,300,0.00596892
400,600,400,0.0083639
400,600,500,0.010194
400,600,600,0.0126318
400,600,700,0.0144712
400,600,800,0.0173561
400,600,900,0.0188933
400,600,1000,0.0218009
400,700,100,0.00231603
400,700,200,0.00467089
400,700,300,0.00701405
400,700,400,0.0108498
400,700,500,0.014393
400,700,600,0.0163888
