Size,Time
12,12638
15,8978
19,11481
25,20620
31,44401
39,76633
50,119295
63,189244
79,347236
100,586475
125,359110
158,578854
199,1126465
251,2143812
316,3371042
398,7220069
501,14346843
630,24899515
794,43796785
1000,80503544
