Size,Time
132,0.013
175,0.014
231,0.023
305,0.043
403,0.121
533,0.231
704,0.595
931,1.354
1230,3.54
1626,9.206
2149,48.79
2840,108.735
3753,327.194
4960,518.247
6555,2082.693
8664,4217.557
11450,11037.434
15133,32512.851
20000,43110.399
